title,description,author,contact,email_contact,update_date,url,data_type,access
Foreign Agricultural Trade of the United States (FATUS),"The Foreign Agricultural Trade of the United States (FATUS) data page provides U.S. agricultural exports and imports, volume and value, by country and by commodity.","Economic Research Service, Department of Agriculture",Bart Kenner,mailto:Bart.Kenner@usda.gov,2020-07-02,https://www.ers.usda.gov/data-products/foreign-agricultural-trade-of-the-united-states-fatus/us-agricultural-trade-data-update/#Latest%20U.S.%20Agricultural%20Trade,application/vnd.ms-excel,public
Frontier and Remote Area Codes,"Frontier and Remote Area (FAR) codes provide a statistically-based, nationally-consistent, and adjustable definition of territory in the U.S. characterized by low population density and high geographic remoteness.

To assist in providing policy-relevant information about conditions in sparsely settled, remote areas of the U.S. to public officials, researchers, and the general public, ERS has developed ZIP-code-level frontier and remote (FAR) area codes. The aim is not to provide a single definition. Instead, it is to meet the demand for a delineation that is both geographically detailed and adjustable within reasonable ranges, in order to be usefully applied in diverse research and policy contexts. This initial set, based on urban-rural data from the 2000 decennial census, provides four separate FAR definition levels, ranging from one that is relatively inclusive (18 million FAR residents) to one that is more restrictive (4.8 million FAR residents).","Economic Research Service, Department of Agriculture",John Cromartie,mailto:john.cromartie@usda.gov,2019-08-20,https://www.ers.usda.gov/data-products/frontier-and-remote-area-codes/,dcat:Distribution,public
Fruit and Tree Nuts Data,"Fruit and Tree Nut Data provide users with comprehensive statistics on fresh and processed fruits, melons, and tree nuts in the United States, as well as some global data for these sectors.  It harmonizes and integrates data from the ERS market outlook program with data collected by different Federal and international statistical agencies to facilitate analyses of economic performance over time and across domestic and foreign markets.","Economic Research Service, Department of Agriculture",Bart Kenner,mailto:bart.kenner@usda.gov,2020-07-17,http://ers.usda.gov/data-products/fruit-and-tree-nut-data/data-by-category.aspx,text/html,public
Fruit and Vegetable Prices,How much do fruits and vegetables cost? ERS estimated average prices for 153 commonly consumed fresh and processed fruits and vegetables.,"Economic Research Service, Department of Agriculture",Hayden Stewart,mailto:hstewart@ers.usda.gov,2019-08-20,http://www.ers.usda.gov/data-products/fruit-and-vegetable-prices.aspx,application/vnd.ms-excel,public
International Agricultural Productivity,"This data product provides agricultural output, input and total factor productivity (TFP) growth rates, but not levels, across the countries and regions of the world in a consistent, comparable way, for 1961-2010.","Economic Research Service, Department of Agriculture",Keith Fuglie,mailto:kfuglie@ers.usda.gov,2019-11-21,http://www.ers.usda.gov/data-products/international-agricultural-productivity/,application/vnd.ms-excel,public
International Baseline Data,"International baseline projections indicate supply, demand, and trade for major agricultural commodities for selected countries. These projections provide foreign country detail supporting the annual USDA agricultural baseline, which are longrun, 10-year projections.","Economic Research Service, Department of Agriculture",James Hansen,mailto:james.hansen2@usda.gov,2020-04-29,http://ers.usda.gov/data-products/international-baseline-data.aspx,application/vnd.ms-excel,public
International Food Consumption Patterns,"Total and marginal budget shares and income and price elasticities are estimated, using 2005 ICP data, for nine broad consumption groups and eight food subgroups across 144 countries.","Economic Research Service, Department of Agriculture",Felix Baquedano,mailto:Felix.Baquedano@usda.gov,2020-06-05,http://www.ers.usda.gov/data-products/international-food-consumption-patterns.aspx,application/vnd.ms-excel,public
International Food Security,"This dataset is the basis for the International Food Security Assessment, 2016-2026 released in June 2016.  This annual ERS report projects food availability and access for 76 low- and middle-income countries over a 10-year period.  The dataset includes annual country-level data on area, yield, production, nonfood use, trade, and consumption for grains and root and tuber crops (combined as R&T in the documentation tables), food aid, total value of imports and exports, gross domestic product, and population compiled from a variety of sources.","Economic Research Service, Department of Agriculture",Felix Baquedano,mailto:Felix.Baquedano@usda.gov,2020-06-05,http://www.ers.usda.gov/data-products/international-food-security.aspx,application/vnd.ms-excel,public
International Macroeconomic Data Set,"The International Macroeconomic Data Set provides data from 1969 through 2030 for real (adjusted for inflation) gross domestic product (GDP), population, real exchange rates, and other variables for the 190 countries and 34 regions that are most important for U.S. agricultural trade. The data presented here are a key component of the USDA Baseline projections process, and can be used as a benchmark for analyzing the impacts of U.S. and global macroeconomic shocks.","Economic Research Service, Department of Agriculture",Steven Zahniser,mailto:steven.zahniser@usda.gov,2020-01-09,http://ers.usda.gov/data-products/international-macroeconomic-data-set.aspx,application/vnd.ms-excel,public
Irrigated Agriculture in the United States,"Note: Updates to this data product are discontinued.

This data product summarizes the farm-structural characteristics for irrigated farms in each of the 50 States, the 17 Western States (aggregated) and the Nation as a whole, based on USDA's 2013 Farm and Ranch Irrigation Survey (FRIS). (See the Documentation for data sources and methods.) The tables are grouped into three sections of sets of tables. Section I covers all irrigated farms; sets of tables are grouped into 18 broad categories, ranging from total irrigation values to higher efficiency irrigation, to irrigated farms receiving technical/financial assistance designed to encourage onfarm water and energy conservation. Sets of tables in Section II cover all irrigated horticulture farms, and tables in Section III cover irrigated horticulture under protection (HUP) farms.

All tables identify specific irrigation characteristics for four farm-size classes, by State and region. The list of tables in each set is found in the first tab of each Excel workbook. 

A previous release of this data product—which summarized the farm-structural characteristics for irrigated farms in the 17 Western States based on USDA's 2008 and 1998 Farm and Ranch Irrigation Surveys—is available in a zipped archive file.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-04-01,https://www.ers.usda.gov/data-products/irrigated-agriculture-in-the-united-states/,dcat:Distribution,public
